Handling Database of size 10
5 found in 9.894371032714844e-05 seconds.
1 found in 0.00010395050048828125 seconds.
4 found in 0.000102996826171875 seconds.
6 found in 0.00010085105895996094 seconds.
3 found in 9.989738464355469e-05 seconds.
4 found in 9.799003601074219e-05 seconds.
6 found in 9.703636169433594e-05 seconds.
8 found in 9.512901306152344e-05 seconds.
7 found in 9.322166442871094e-05 seconds.
3 found in 9.489059448242188e-05 seconds.
9.849071502685547e-05
Handling Database of size 100
90 found in 9.012222290039062e-05 seconds.
10 found in 0.00010228157043457031 seconds.
32 found in 9.584426879882812e-05 seconds.
98 found in 9.608268737792969e-05 seconds.
49 found in 9.393692016601562e-05 seconds.
31 found in 9.489059448242188e-05 seconds.
75 found in 9.417533874511719e-05 seconds.
69 found in 9.393692016601562e-05 seconds.
28 found in 9.298324584960938e-05 seconds.
31 found in 9.393692016601562e-05 seconds.
9.48190689086914e-05
Handling Database of size 1000
146 found in 8.988380432128906e-05 seconds.
462 found in 9.703636169433594e-05 seconds.
86 found in 9.393692016601562e-05 seconds.
405 found in 9.703636169433594e-05 seconds.
745 found in 9.608268737792969e-05 seconds.
129 found in 9.489059448242188e-05 seconds.
687 found in 9.417533874511719e-05 seconds.
238 found in 9.393692016601562e-05 seconds.
535 found in 9.298324584960938e-05 seconds.
42 found in 9.202957153320312e-05 seconds.
9.419918060302735e-05
Handling Database of size 10000
5663 found in 9.226799011230469e-05 seconds.
5404 found in 9.822845458984375e-05 seconds.
7299 found in 9.822845458984375e-05 seconds.
8650 found in 9.703636169433594e-05 seconds.
6977 found in 0.00011014938354492188 seconds.
3538 found in 9.989738464355469e-05 seconds.
1530 found in 9.703636169433594e-05 seconds.
8159 found in 9.608268737792969e-05 seconds.
7206 found in 9.584426879882812e-05 seconds.
2448 found in 9.703636169433594e-05 seconds.
9.818077087402344e-05
Handling Database of size 100000
24039 found in 9.775161743164062e-05 seconds.
13273 found in 0.00010013580322265625 seconds.
25308 found in 9.822845458984375e-05 seconds.
54488 found in 9.512901306152344e-05 seconds.
77733 found in 9.799003601074219e-05 seconds.
67545 found in 9.894371032714844e-05 seconds.
75415 found in 9.489059448242188e-05 seconds.
52297 found in 0.00010418891906738281 seconds.
20101 found in 0.00010013580322265625 seconds.
31708 found in 0.0001010894775390625 seconds.
9.884834289550782e-05
