Handling Database of size 10
5 found in 9.608268737792969e-05 seconds.
1 found in 9.989738464355469e-05 seconds.
1 found in 9.989738464355469e-05 seconds.
8 found in 9.989738464355469e-05 seconds.
1 found in 0.00010013580322265625 seconds.
1 found in 0.00010013580322265625 seconds.
6 found in 9.894371032714844e-05 seconds.
3 found in 9.894371032714844e-05 seconds.
3 found in 9.799003601074219e-05 seconds.
4 found in 0.00010013580322265625 seconds.
9.920597076416016e-05
Handling Database of size 100
39 found in 9.083747863769531e-05 seconds.
90 found in 9.608268737792969e-05 seconds.
35 found in 9.894371032714844e-05 seconds.
36 found in 9.703636169433594e-05 seconds.
33 found in 9.584426879882812e-05 seconds.
69 found in 9.512901306152344e-05 seconds.
42 found in 9.489059448242188e-05 seconds.
87 found in 9.417533874511719e-05 seconds.
14 found in 9.489059448242188e-05 seconds.
56 found in 0.00010395050048828125 seconds.
9.617805480957031e-05
Handling Database of size 1000
784 found in 9.298324584960938e-05 seconds.
696 found in 9.703636169433594e-05 seconds.
161 found in 9.822845458984375e-05 seconds.
599 found in 9.679794311523438e-05 seconds.
538 found in 9.679794311523438e-05 seconds.
947 found in 9.512901306152344e-05 seconds.
419 found in 9.822845458984375e-05 seconds.
168 found in 9.679794311523438e-05 seconds.
701 found in 9.512901306152344e-05 seconds.
84 found in 9.703636169433594e-05 seconds.
9.641647338867187e-05
Handling Database of size 10000
3923 found in 9.608268737792969e-05 seconds.
2379 found in 9.703636169433594e-05 seconds.
8487 found in 9.512901306152344e-05 seconds.
4569 found in 9.703636169433594e-05 seconds.
8093 found in 9.584426879882812e-05 seconds.
4420 found in 9.489059448242188e-05 seconds.
7127 found in 9.608268737792969e-05 seconds.
6058 found in 9.489059448242188e-05 seconds.
6179 found in 9.584426879882812e-05 seconds.
5608 found in 9.608268737792969e-05 seconds.
9.589195251464843e-05
Handling Database of size 100000
86928 found in 9.393692016601562e-05 seconds.
1859 found in 9.822845458984375e-05 seconds.
21889 found in 9.918212890625e-05 seconds.
60741 found in 9.894371032714844e-05 seconds.
70129 found in 9.918212890625e-05 seconds.
11854 found in 0.0001010894775390625 seconds.
9869 found in 9.894371032714844e-05 seconds.
13846 found in 9.918212890625e-05 seconds.
89095 found in 0.0001010894775390625 seconds.
35195 found in 0.00010085105895996094 seconds.
9.906291961669922e-05
